Атꙋнчѣ ЇС дꙋс фꙋ де дꙋχꙋл ꙟпꙋстїе, съсѫ испитѣскѫ де дїаволꙋл.	Atunci Iisus a fost dus de Duhul în pustiu, ca să fie ispitit de către diavolul.
Ѩρѫ кꙋм аꙋζи ЇС къ ѧсте Їѡан пρинс, мѣρсе ꙟгалилеа.	Și Iisus, auzind că Ioan a fost întemnițat, a plecat în Galileea.
Ши лъсѫ наζаρетꙋл, вени ши лъкꙋи ꙟ Капеρнаꙋмь, лънгѫ маρе ꙟχотаρѫле лꙋи завꙋлонь ши алꙋи нефѳалим.	Și părăsind Nazaretul, a venit de a locuit în Capernaum, lângă mare, în hotarele lui Zabulon și Neftali,
Ка съ сѫ ꙟпле чѣꙋ зис пρе Їсаиѧ пρоρокꙋл, зикънд.	Ca să se împlinească ce s-a zis prin Isaia proorocul care zice:
Пъмънтꙋл лꙋи завꙋлон, ши пѫмънтꙋл лꙋи неѳалим, калѣ мъρїи , дечѣѧ паρте де Їоρдан , галилеа лимбилѡρ.	"Pământul lui Zabulon și pământul lui Neftali spre mare, dincolo de Iordan, Galileea neamurilor;
Оаменїи чеи чешедѣ ꙟнтꙋнѣρек, въζꙋρѫ лꙋминѫ маρе: ши чеи че шъдѣ ꙟцьнꙋтꙋл ши ꙟн ꙋмбρа морцїи лꙋминѫ  стрѫлꙋчи лор.	Poporul care stătea în întuneric a văzut lumină mare și celor ce ședeau în latura și în umbra morții lumină le-a răsărit".
Деатꙋнчи ꙟчепꙋ ЇС аповести ши агρъи, покъицивѫ, къ са апρопїать ꙋпъρѫцїѧ чеρюρелѡр.	De atunci a început Iisus să propovăduiască și să spună: Pocăiți-vă, căci s-a apropiat împărăția cerurilor.
Ѩρѫ ꙟблънд ЇС лънгѫ маρѣ галилеїи, въζꙋ дои фρац пρе Симонь че сѫ зиче пътρꙋ, ши пρе андρею фρателе лꙋи арꙋнкъндь мρѣжѧ ꙟмаρе (къ Еρа пѫскаρи).	Pe când umbla pe lângă Marea Galileii, a văzut pe doi frați, pe Simon ce se numește Petru și pe Andrei, fratele lui, care aruncau mreaja în mare, căci erau pescari.
ши зис лор, вениц дꙋпѫ мине, ши вою фаче пρе вои пѫскари де ѡамени.	Și le-a zis: Veniți după Mine și vă voi face pescari de oameni.
Дарѫ еи, нꙋмаи декът лъсаρѫ мρежиле ши дꙋпѫ ел.	Iar ei, îndată lăsând mrejele, au mers după El.
Ши меρгънд деаколѣ, въζꙋ алци дои фρаци, пρе Їакѡп  алꙋи зеведею, ши пρе Їѡан фρателе лꙋи, ꙟкоρабїе кꙋ зеведею татѫ лѡр кѫρпинд мρежиле лѡр, ши кемѫ пρе еи.	Și de acolo, mergând mai departe, a văzut alți doi frați, pe Iacov al lui Zevedeu și pe Ioan fratele lui, în corabie cu Zevedeu, tatăl lor, dregându-și mrejele și i-a chemat.
Ѩρѫ Еи нꙋмаи декът лъсаρѫ коρабїѧ ши пρе татѫл лѡр мѣρсѫρѫ дꙋпѫ Ел.	Iar ei îndată, lăsând corabia și pe tatăl lor, au mers după El.
Ши ꙟкꙋиџюρѫ ЇС тоатѫ галилеа ꙟвъцънд ꙟсинагога лѡρь, ши повестꙋинд еѵглїѩ ꙟпъρѫцїеи, ши виндекънд тоатѫ боала ши Слъбичюнѣ ꙟтρꙋ ѡамени.	Și a străbătut Iisus toată Galileea, învățând în sinagogile lor și propovăduind Evanghelia împărăției și tămăduind toată boala și toată neputința în popor.
Ши Еши вѣстѣ лꙋи ꙟтоатѫ Сѵρїа: ши адꙋсѫρѫ лꙋи пρе тоци каρїи пъцїѧ ρъꙋ, ꙟмꙋлте фѣлюρ де боале, ши де кинꙋρи кꙋпρинши, ши дρѫчи, ши лꙋнатеч, ши слѫбоноџ де вине ши виндека пρе Еи.	Și s-a dus vestea despre El în toată Siria, și aduceau la El pe toți cei ce se aflau în suferințe, fiind cuprinși de multe feluri de boli și de chinuri, pe demonizați, pe lunatici, pe slăbănogi, și El îi vindeca.
Ши меρџѣ дꙋпѫ Ел мꙋлциме мꙋлтѫ деꙟгалилеа, дин декаполїа, ши ди Еρосалим, ши дин Їꙋдеа, ши дечѣѧ паρте де Їоρдань.	Și mulțimi multe mergeau după El, din Galileea, din Decapole, din Ierusalim, din Iudeea și de dincolo de Iordan.
ѩρѫ дѣка въζꙋ мꙋлцимѣ, Съ сꙋи ꙟмъгꙋρѫ, ши дѣкѫ шѫζꙋ, вениρѫ кътρѫ Ел ѹченичїи лꙋи.	Văzând mulțimile, Iisus S-a suit în munte, și așezându-se, ucenicii Lui au venit la El.
Атꙋнчѣ дешкисе ρостꙋ съꙋ, ꙟвъца пρе Еи,зикънд.	Și deschizându-și gura, îi învăța zicând:
феρичиц Сꙋρꙋманїн Сꙋфлетещ, къ ачелѡρа ѧсте ꙟпъρъцїѧ чеρюρелоρь.	Fericiți cei săraci cu duhul, că a lor este împărăția cerurilor.
Феρиче де чеѧ че плънгь : къ ачеѧ съ воρъ мѫꙟгъѧ.	Fericiți cei ce plâng, că aceia se vor mângâia.
феρиче де блънζїи, къ ачеѧ воρь мощени пъмьнтꙋл.	Fericiți cei blânzi, că aceia vor moșteni pământul.
Феρиче де чеѧ че флъмънζескь ши ꙟсетошаζѫ пентρꙋ деρептате: къ ачеѧ сѫ вор сътꙋρа.	Fericiți cei ce flămânzesc și însetează de dreptate, că aceia se vor sătura.
феρиче де милстивїи: кѫ ачеѧ воρ добънди мила.	Fericiți cei milostivi, că aceia se vor milui.
феρиче де чеѧ кꙋ инима кꙋρатѫ, къ ачеѧ вор ведѣ пρе Дꙋмнезеꙋ.	Fericiți cei curați cu inima, că aceia vor vedea pe Dumnezeu.
феρиче де ꙟпъкьтоρїи, къ ачеѧ фїи лꙋи Дꙋмнеѕеꙋ съ вор кема	Fericiți făcătorii de pace, că aceia fiii lui Dumnezeu se vor chema.
феρиче чеи гониц пентρꙋ деρептате, къ ачелора ѧсте ꙟпъρъцїѧ чеρюрелоρь.	Fericiți cei prigoniți pentru dreptate, că a lor este împărăția cerurilor.
феρичиц вец фи кънд воρ χꙋли пρе вои, ши вѫ вор гони минцинд воρ зиче тотъ ρъꙋ спρе вои пентρꙋ мине.	Fericiți veți fi voi când vă vor ocărî și vă vor prigoni și vor zice tot cuvântul rău împotriva voastră, mințind din pricina Mea.
Бꙋкꙋρацивѫ ши вѫ веселиц кѫ плата воастρѫ мꙋлтѫ ѧсте ꙟчеρюре къ аша гонїѧ пρе пρоρоч каρїи Еρа майнте де вои.	Bucurați-vă și vă veseliți, că plata voastră multă este în ceruri, că așa au prigonit pe proorocii cei dinainte de voi.
Вои сънтеци саρѣ пѫмѫнтꙋлꙋй: даρѫ де сѫва ꙟпꙋци сарѣ кꙋ че сѫва сѫρа? нꙋи бꙋнѫ де немикѫ дѣчеѧ ꙟнаите нꙋмаи сѫ фїе лепъдатѫ афаρѫ ши кѫлкатѫ де ѡамени.	Voi sunteți sarea pământului; dacă sarea se va strica, cu ce se va săra? De nimic nu mai e bună decât să fie aruncată afară și călcată în picioare de oameni.
Вою сънтець лꙋмина лꙋмїи, нꙋ сѫ поате аскꙋнде четатѣ пꙋсѫ десꙋпρа дѣлꙋлꙋи.	Voi sunteți lumina lumii; nu poate o cetate aflată pe vârf de munte să se ascundă.
Нече апρиндꙋ фъклїѧ, ши сѫѡ пꙋе сꙋптъ спѣе, че ꙟ свѣшникь, ши сѫ лꙋмине тꙋтꙋρоρ челоρа че сънт ꙟкасѫ.	Nici nu aprind făclie și o pun sub obroc, ci în sfeșnic, și luminează tuturor celor din casă.
Ашѧ сѫ лꙋминѣζе лꙋмина воастρѫ ꙟнантѣ ѡаменилѡр, късѫ ваζѫ фаптеле воастρе чѣле бꙋне, шисъ пρослѫвѣсскѫ пρе татѫл востρь, чела че ѩсте ꙟчеρюρе.	Așa să lumineze lumina voastră înaintea oamenilor, așa încât să vadă faptele voastre cele bune și să slăvească pe Tatăl vostru Cel din ceruri.
Сѫ нꙋ вѫ паρѫ кѫ ам венит сѫ стρикь лѣџѣ, саꙋ пρоρочїй, кѫ нам венит астρика че а ꙟплѣ.	Să nu socotiți că am venit să stric Legea sau proorocii; n-am venit să stric, ci să împlinesc.
Кѫ адевъρ гρъескь воаѡ, пънѫ нꙋ ва тρѣче чеρюл ши пъмьнтꙋл, Їѡтѫ ꙋна, нꙋва тρѣче дин лѣџе, пънѫ нꙋвор фи тоате.	Căci adevărat zic vouă: Înainte de a trece cerul și pământul, o iotă sau o cirtă din Lege nu va trece, până ce se vor face toate.
Кѫ чела чева спаρџе ѹна дентρачѣсте поρꙋнчн маи мич , ши ва ꙟвѫца пρе ѡамени аша, май мик сѫва кема ꙟтρꙋ ꙟпъρѫциѧ чеρюρелѡр, ѩρѫ чела чевафаче ши ва ꙟвъца, ачела маρе съва кїема ꙟпъρѫцїѧ чеρюρелѡр.	Deci, cel ce va strica una din aceste porunci, foarte mici, și va învăța așa pe oameni, foarte mic se va chema în împărăția cerurilor; iar cel ce va face și va învăța, acesta mare se va chema în împărăția cerurilor.
Кѫ ζик воаѡ кѫ денꙋ ва маи ꙟтρѣче деρептатѣ воастρѫ май мꙋлт декѫт акъρтꙋлаρилѡρ, ши афаρисеилѡρ, нꙋ веци ꙟтρа ꙟтρꙋ ꙟпъρъцїѧ чеρюρелоρь.	Căci zic vouă: Că de nu va prisosi dreptatea voastră mai mult decât a cărturarilor și a fariseilor, nu veți intra în împărăția cerurilor.
Аꙋζитац къ аꙋ фост зис челѡρ деꙟтъи, съ нꙋ ѹчиζ, къ чине ѹчиде виноват ѧсте џꙋдекъцїи.	Ați auzit că s-a zis celor de demult: "Să nu ucizi"; iar cine va ucide, vrednic va fi de osândă.
Ѩρѫ Еꙋ гρѫескь воаѡ кѫ варечине сѫ мѫнїе пρе фρателе сѫꙋ пρен немикѫ, виноват ѧсте џюдекѫцїи, даρѫ чине аρѫ ζиче фρателꙋи сѫꙋ, ρаχа, виноват ѧсте  събоρꙋлꙋи, даρѫ деаρѫ зиче небꙋне, виноват ѧсте фокꙋлꙋи геенꙋлꙋи.	Eu însă vă spun vouă: Că oricine se mânie pe fratele său vrednic va fi de osândă; și cine va zice fratelui său: netrebnicule, vrednic va fi de judecata sinedriului; iar cine va zice: nebunule, vrednic va fi de gheena focului.
Деρептачѣѧ кънд дꙋчи даρꙋл тъꙋ ла ѡлтаρю, ши аколоц веи адꙋче аминте къ фρателе тъꙋ аρе чева алѣн спρе тине.	Deci, dacă îți vei aduce darul tău la altar și acolo îți vei aduce aminte că fratele tău are ceva împotriva ta,
Ласѫ аколо жρъба та ꙟнаинтѣ ѡлтаρюлꙋи, ши пасѫ ꙟтъи дете ꙟпакѫ кꙋ фрателе тъꙋ, ши атꙋнчѣ вино деи дꙋ даρꙋ тъꙋ.	Lasă darul tău acolo, înaintea altarului, și mergi întâi și împacă-te cu fratele tău și apoi, venind, adu darul tău.
Фїи токминдꙋте кꙋ пъρъшꙋл тъꙋ кꙋρънд, пънѫ Ещи пρе кале кꙋ ел, сънꙋ кꙋмва съте дѣ пъρъшꙋл џюдекътоρюлꙋи, ши џюдецꙋл те ва да слꙋџїи, ши ꙟтемницѫ те ва аρꙋнка.	Împacă-te cu pârâșul tău degrabă, până ești cu el pe cale, ca nu cumva pârâșul să te dea judecătorului, și judecătorul slujitorului și să fii aruncat în temniță.
Аρдевъρ гρъескь цїе, нꙋвеи Еши деаколо пънѫ нꙋвеи да, пънѫ ꙟтρꙋ филѣρюл чел де апои.	Adevărat grăiesc ție: Nu vei ieși de acolo, până ce nu vei fi dat cel din urmă ban.
Аꙋζитац къ фꙋ зис челѡр деꙟтъи, нꙋ кꙋρви:	Ați auzit că s-a zis celor de demult: "Să nu săvârșești adulter".
Ѩρѫ Еꙋ гρъеск воаѡ, къ фїете чине че каꙋтѫ спρе мꙋѧρе кꙋ поχтѫ ρѣ, ѩтѫ фаче кꙋρвїе кꙋ динса ꙟтρꙋ инима са.	Eu însă vă spun vouă: Că oricine se uită la femeie, poftind-o, a și săvârșit adulter cu ea în inima lui.
Деч съ тева ѡпъчи ѡкюл тъꙋ чел деρепт,Скоател ши лѩпъдѫ дела тине,къ маи бинец ѧсте касѫ пїѧе ѹнꙋл ди ꙟмъдꙋлаρеле тале, декът тот тρꙋпꙋл тъꙋ съ фїе арꙋнкат ꙟфокꙋл геениїи.	Iar dacă ochiul tău cel drept te smintește pe tine, scoate-l și aruncă-l de la tine, căci mai de folos îți este să piară unul din mădularele tale, decât tot trupul să fie aruncat în gheenă.
Ши съте съблѫζнѣще мъна та деρѣптѫ, таеѡ шиѡ лапъдѫ дела тине, къ маи бине цїе ка съпїѧе ѹнꙋлъ дин мъꙋлаρеле тале,декът тот тρꙋпꙋл тъꙋ сѫс аρꙋнче ꙟгеенѫ.	Și dacă mâna ta cea dreaptă te smintește pe tine, taie-o și o aruncă de la tine, căci mai de folos îți este să piară unul din mădularele tale, decât tot trupul tău să fie aruncat în gheenă.
Къи зис, къ варе чине шаρѫ лъса мꙋѧρѣ лꙋи съи дѣ еи карте де слобоζие.	S-a zis iarăși: "Cine va lăsa pe femeia sa, să-i dea carte de despărțire".
Ѩρѫ Еꙋ зик воаѡ, кѫ чине шарѫ лъса мꙋѧρѣ лꙋи фъρѫ винѫ де кꙋρвїе,фачеѡ пρе ѧ кꙋρвѫ,ши чине ѡаρѫ лꙋа лъсатѫ, кꙋρвѣще.	Eu însă vă spun vouă: Că oricine va lăsa pe femeia sa, în afară de pricină de desfrânare, o face să săvârșească adulter, și cine va lua pe cea lăsată săvârșește adulter.
Ѩρѫ аꙋζитам кꙋм фꙋ зис челѡр де демꙋлт,сънꙋ џꙋри стρъмбь, чець ꙟпле домꙋнꙋлꙋи џюρъмънтꙋлъ тъꙋ.	Ați auzit ce s-a zis celor de demult: "Să nu juri strâmb, ci să ții înaintea Domnului jurămintele tale".
Даρѫ Еꙋ зик воаѡ, нꙋвѫ џюρаρец неч декът, неч пρе чеρю къи Скаꙋнꙋлъ лꙋи Дꙋмнеѕеꙋ.	Eu însă vă spun vouă: Să nu vă jurați nicidecum nici pe cer, fiindcă este tronul lui Dumnezeu,
Неч пρе пъмънть,къи ρаζъм пичоаρелоρ лꙋи , неч пρе Їеρслим: къ ѧсте четатѣ амаρелꙋн ꙟпъρат.	Nici pe pământ, fiindcă este așternut al picioarelor Lui, nici pe Ierusalim, fiindcă este cetate a marelui Împărat,
Неч пρе капꙋл тъꙋ съте џюρи, къ нꙋ поц нече ѹн пъρ албꙋ саꙋ негρꙋ съ фач.	Nici pe capul tău să nu te juri, fiindcă nu poți să faci un fir de păr alb sau negru,
Че съ фїе кꙋвънтꙋл востρꙋ,чеи аша аша,че нꙋи нꙋ: ѩρѫ чее маи мꙋлть де ачѣстѣ,дела непρїитоρюл ѧсте.	Ci cuvântul vostru să fie: Ceea ce este da, da; și ceea ce este nu, nu; iar ce e mai mult decât acestea, de la cel rău este.
Аꙋζитац къ фꙋ зис ѡкю деρепт ѡкю, ши динте пентρꙋ динте.	Ați auzit că s-a zis: "Ochi pentru ochi și dinte pentru dinte".
Ѩρѫ Еꙋ зик воаѡ, нꙋвѫ пρотивиρец ρъꙋлꙋи кꙋ ρъꙋ, че сътѣρе лови чинева пρесте фаца обρаζꙋлꙋи дѣ деρѣпта, ꙟтоаρче лꙋи ши чѣѧ лалтѫ.	Eu însă vă spun vouă: Nu vă împotriviți celui rău; iar cui te lovește peste obrazul drept, întoarce-i și pe celălalt.
Ши чине ва вρѣ съсѫ пъρаскѫ кꙋ тине , ши вешмънтꙋлъ тъꙋ съ ѧ, ласѫ ши чель десꙋпρа.	Celui ce voiește să se judece cu tine și să-ți ia haina, lasă-i și cămașa.
Ши сѫтѣρе сили чинева ѡ милъ делок, пасѫ кꙋ Ел доаѡ.	Iar de te va sili cineva să mergi o milă, mergi cu el două.
Чине чѣρе дела тине дѫи: ши чине чева сѫс ꙟпρомꙋтѣ зе дела тине, нꙋ те ꙟтоаρче.	Celui care cere de la tine, dă-i; și de la cel ce voiește să se împrumute de la tine, nu întoarce fața ta.
Аꙋζитаци къ фꙋ зис,съ юбещи пρе пρиѧтинꙋл тъꙋ, ши съ ѹρъщи пρе пизмашꙋл тъꙋ.	Ați auzit că s-a zis: "Să iubești pe aproapele tău și să urăști pe vrăjmașul tău".
Ѩρѫ еꙋ зик воаѡ,юбиц пρе пизмашїн вощρи, бине зичец челоρа чевѫ бластъмѫ,бине фаче челоρа чевѫ ꙋρѫскь пρе вои ши вѫ ρꙋга пентρꙋ чеи че вѫ нъпъстꙋескъ пρевои шивѫ гонескъ.	Iar Eu zic vouă: Iubiți pe vrăjmașii voștri, binecuvântați pe cei ce vă blestemă, faceți bine celor ce vă urăsc și rugați-vă pentru cei ce vă vatămă și vă prigonesc,
Ка сѫ фиц фїи татълꙋн ностρꙋ, чела че ѧсте ꙟчеρюρи: кѫ фаче съ ρѫсаρѫ соаρеле съꙋ Спρе бꙋни ши спρе ρъи,ши плоаѡ спρе деρепци,ши недеρепци.	Ca să fiți fiii Tatălui vostru Celui din ceruri, că El face să răsară soarele și peste cei răi și peste cei buni și trimite ploaie peste cei drepți și peste cei nedrepți.
Кѫ девецъ юби пρе чеи. чевѫ юбескь пρевои, че платѫ вец авѣ аꙋ нꙋ ши пꙋбликанїи фак ачѣѧ ?	Căci dacă iubiți pe cei ce vă iubesc, ce răsplată veți avea? Au nu fac și vameșii același lucru?
Ши девец кꙋпρинде кꙋ дρагосте пρе фρацїи вощρн нꙋмаи, чевец фаче маи мꙋлть? аꙋ нꙋ ши пꙋбликанїн факъ аша.	Și dacă îmbrățișați numai pe frații voștri, ce faceți mai mult? Au nu fac și neamurile același lucru?
Деρептачѣѧ фиц вои десъвρъшит, кꙋм татъл востρꙋ денчеρю де съвρъшит ѧсте.	Fiți, dar, voi desăvârșiți, precum Tatăl vostru Cel ceresc desăvârșit este.
﻿Лꙋаци аминте милостенїѧ ноастρѫ съ нꙋѡ фачец ꙟнаинтѣ ѡаменилоρъ касѫ ваζѫ Еи: кѫ ашѧ платѫ нꙋ веци авѣ дела татѫл вострꙋ чел дин чеρюρи.	﻿Luați aminte ca faptele dreptății voastre să nu le faceți înaintea oamenilor ca să fiți văzuți de ei; altfel nu veți avea plată de la Tatăl vostru Cel din ceruri.
Деρептачѣѧ къндъ фач милстенїе, нꙋ бꙋчина ꙟнаинтѣ та,ка чеи фъцарнич фак ꙟсинагога ши пρе ѹлице касъи лаꙋде ѡаменїи. адевъρ зик воаѡ къ шаꙋ лꙋат плата са.	Deci, când faci milostenie, nu trâmbița înaintea ta, cum fac fățarnicii în sinagogi și pe ulițe, ca să fie slăviți de oameni; adevărat grăiesc vouă: și-au luat plata lor.
Ѩρѫ тꙋ фъкънд милстенїе съ нꙋ щїе стънга та че фаче деρѣпта та.	Tu însă, când faci milostenie, să nu știe stânga ta ce face dreapta ta,
Касѫ фїе милостенїѧ та ꙟтρаскꙋнсь: ши татѫл тъꙋ челъ че вѣде ꙟтраскꙋнсь,ачела ва да цие ла аρътаρе.	Ca milostenia ta să fie într-ascuns și Tatăl tău, Care vede în ascuns, îți va răsplăti ție.
Ши кънд те ρоџи,нꙋ фи ка фъцарничїи каρїи юбеск пρе ꙟворбе ши пρе ѹгюρиле ѹлицелор стънд съсѫ ρоаџе, касъсѫ аρате ѡаменилѡρь: адевъρь зик воаѡ, къш ѩꙋ плата лѡρь.	Iar când vă rugați, nu fiți ca fățarnicii cărora le place, prin sinagogi și prin colțurile ulițelor, stând în picioare, să se roage, ca să se arate oamenilor; adevărat grăiesc vouă: și-au luat plata lor.
Ѩρѫ тꙋ кънд те ρоџи, ꙟтρѫ ꙟкѫмара та,ши ꙟкиζънд ѹшѧ та,ши те ρоагѫ татѫлꙋи тъꙋ ꙟтρꙋ аскꙋнсъ : ши татѫл тъꙋ чела че вѣде ꙟтρаскꙋнсь, дава цие ла аρътаρе.	Tu însă, când te rogi, intră în cămara ta și, închizând ușa, roagă-te Tatălui tău, Care este în ascuns, și Tatăl tău, Care este în ascuns, îți va răsplăti ție.
Даρѫ ρꙋгъндꙋвѫ , нꙋ гρъиρец мꙋлтъ ка пъгънїи , къ ле паρе къ ꙟтρꙋ мꙋлтѫ кꙋвънтѫρѣ лоρь воρфи аꙋζиц .	Când vă rugați, nu spuneți multe ca neamurile, că ele cred că în multa lor vorbărie vor fi ascultate.
Деч нꙋвѫ ꙟкипꙋиρец лѡρ, кѫ щие татъл востρꙋ чѣлѣ че вѫ тρебꙋескь воаѡ маинте де чѣρеρѣ воастρѫ .	Deci nu vă asemănați lor, că știe Tatăl vostru de cele ce aveți trebuință mai înainte ca să cereți voi de la El.
Деρепть ачѣѧ аша вѫ ρꙋгаци вои : Татѫл ностρꙋ че ещи ꙟчеρюρе, Сфинцѣскъсѫ нꙋмеле тъꙋ.	Deci voi așa să vă rugați: Tatăl nostru, Care ești în ceruri, sfințească-se numele Tău;
Съ вїе ꙟпъρъцїѧ та,фїе воѧ та,кꙋмꙋе ꙟчеρю аша ши пρе пъмънт	Vie împărăția Ta; facă-se voia Ta, precum în cer și pe pământ.
Пъинѣ ноастρѫ де тоате зилеле дѫнїѡ ноаѡ астѫζ.	Pâinea noastră cea spre ființă dă-ne-o nouă astăzi;
Ши не ѩртѫ ноаѡ пъкателе ноастρе,кꙋм ертѫм ши нои грешицилор нощρи.	Și ne iartă nouă greșealele noastre, precum și noi iertăm greșiților noștri;
Ши нꙋне дꙋче пρе нои ꙟнъпасте,чене избѫвѣще пρе нои де ρъꙋл къ а та ѧсте ꙟпъρъцїѧ ши пꙋтѣρѣ ши слава ꙟтρꙋвѣч амин.	Și nu ne duce pe noi în ispită, ci ne izbăvește de cel rău. Că a Ta este împărăția și puterea și slava în veci. Amin!
Къ съ вец Еρта ѡаменилѡр гρешалеле лѡр,Ертава ши воаѡ татѫл востρꙋ чел ди ꙟчеρю.	Că de veți ierta oamenilor greșealele lor, ierta-va și vouă Tatăl vostru Cel ceresc;
Ѩρѫ съ нꙋвец ерта ѡаменилор гρешалеле лѡр,неч татѫл вострꙋ нꙋва Ерта воаѡ гρешале воастρе.	Iar de nu veți ierta oamenilor greșealele lor, nici Tatăl vostru nu vă va ierta greșealele voastre.
Даρѫ къндь постиц, нꙋ фиρец ка чеи фѫцаρничи тρищи, къш смолескь фаца лѡр,ка съсѫ аρате ѡаменилѡр постиндꙋсѫ,адевъρь зикь воаѡ,къш воρ лꙋа плата лѡр.	Când postiți, nu fiți triști ca fățarnicii; că ei își smolesc fețele, ca să se arate oamenilor că postesc. Adevărat grăiesc vouă, și-au luat plata lor.
Ѩρѫ тꙋ кънд постещи ꙋнџе капꙋл тъꙋ,ши спалѫ фаца та.	Tu însă, când postești, unge capul tău și fața ta o spală,
Ка сѫ нꙋ те аρѫц ѡаменилор къ те постещи, че татѫл тъꙋ чинеи ꙟтρаскꙋнс, ши татѫл тъꙋ чел че вѣде ꙟстраскꙋнс дава цїе ла аρътаре.	Ca să nu te arăți oamenilor că postești, ci Tatălui tău care este în ascuns, și Tatăl tău, Care vede în ascuns, îți va răsplăti ție.
Нꙋ адꙋнаρец воаѡ комоаρѫ пρе пъмѫнть, ѹнде молїиле ши ρꙋџина ѡл стρикѫ, ши ѹнде фꙋрїи ѡл сапѫ шиѡ фꙋρѫ.	Nu vă adunați comori pe pământ, unde molia și rugina le strică și unde furii le sapă și le fură.
Че адꙋнаць комоаρѫ воаѡ ꙟчеρю, ѹнде нече молїиле нече ρꙋџина ѡл стρикѫ,ши де ꙋнде фꙋρеи нꙋ ѡл сапѫ нꙋ еѡ фꙋρѫ.	Ci adunați-vă comori în cer, unde nici molia, nici rugina nu le strică, unde furii nu le sapă și nu le fură.
Къ ꙋнде ѧсте комоаρа воастρѫ, аколо ѧсте ши инима воастρѫ.	Căci unde este comoara ta, acolo va fi și inima ta.
Лꙋмина тρꙋпꙋлꙋи ѧсте окюл, деч съ вафи окюл тъꙋ кꙋρать, тоть тρꙋпꙋл тъꙋ лꙋминатъ вафи.	Luminătorul trupului este ochiul; de va fi ochiul tău curat, tot trupul tău va fi luminat.
Ѩρѫ дева фи ѡкюл тъꙋ ρъꙋ, тоть тρꙋпꙋл тъꙋ вафи ꙟтꙋнекать, деч дѣка ѧсте лꙋмина каρѣе ꙟтρꙋтине ꙟтꙋнѣρекъ, даρѫ ꙟтꙋнѣρекꙋл кътꙋе.	Iar de va fi ochiul tău rău, tot trupul tău va fi întunecat. Deci, dacă lumina care e în tine este întuneric, dar întunericul cu cât mai mult!
